Show Id,Title,Description,Director,Genres,Cast,Production Country,Release Date,Rating,Duration(min),Imdb Score,Content Type,Date Added,Season Count
7dd6c789-798d-4256-a3e8-374e81d24e41,Love Is War,An adoring couple elects to test the strength of their marriage when they run against each other for the office of state governor.,Omoni Oboli,"Comedies, Dramas, International Movies","Omoni Oboli, Richard Mofe-Damijo, Jide Kosoko, Akin Lewis, Bimbo Manuel, Shaffy Bello, Toke Makinwa, Femi Branch, Uzor Osimkpa",Nigeria,2019,TV-14,111,,Movie,"April 29, 2020",
50565878-d715-42cc-bf02-2cf42b845661,Marked,"This documentary explores Nigeria’s cultural practice of marking, including its origins and meaning as a symbol of identity, beauty and spirituality.",Nadine Ibrahim,"Documentaries, International Movies",,Nigeria,2021,TV-PG,21,,Movie,"March 28, 2021",
8e4447ff-9f6d-449e-8a97-3bcf5caa5715,Meet the In-Laws,"When their respective parents oppose their union, a newly engaged couple learns that the reasons for pushback run deeper than just tribal differences.",Niyi Akinmolayan,"Comedies, Dramas, International Movies","Adeniyi Johnson, Tina Mba, Dele Odule, Lilian Esoro, Amaechi Muonagor, Blessing Onwukwe, Dayo Amusa, Kenneth Okolie",Nigeria,2017,TV-PG,75,,Movie,"August 18, 2020",
74d95e92-e179-4ce9-9c9a-705586d955bf,Merry Men 2: Another Mission,"To save a kidnapped loved one, a pack of wealthy men must return to their vigilante past when they are blackmailed to pull off a treacherous heist.",Moses Inwang,"Comedies, International Movies","Ramsey Nouah, Ayo Makun, Jim Iyke, Falz, Uchemba Williams, Ireti Doyle, Ufuoma McDermott, Nancy Isime, Alex Asogwa",Nigeria,2019,TV-MA,115,6.8,Movie,"June 5, 2020",
ac9f7129-efdd-449a-b88b-42d71aa96ee1,Merry Men: The Real Yoruba Demons,"Four of the richest bachelors in Abuja, Nigeria enjoy a life of fast cars, palatial homes and female attention while concealing their true activities.",Toka McBaror,"Comedies, International Movies","Ramsey Nouah, Jim Iyke, Ayo Makun, Falz, Richard Mofe-Damijo, Iretiola Doyle, Damilola Adegbite, Rosaline Meurer, Jide Kosoko, Ali Nuhu, Segun Arinze, Francis Duru",Nigeria,2018,TV-MA,106,5.2,Movie,"September 21, 2019",
f54277d3-b289-4ab8-accd-3d6dd8227558,Mokalik (Mechanic),A young boy's life shifts when he's sent to work at a mechanic's shop far from his suburban home until an opportunity forces him to make a tough choice.,Kunle Afolayan,"Dramas, International Movies","Tooni Afolayan, Ayo Ogunshina, Dayo Akinpelu, Simi Ogunleye, Femi Adebayo, Lateef Adedimeji, Damilola Ogunsi, Rasaq Olayiwola, Ayo Adesanya, Wale Akorede, Toyosi Benjamin, Hamzat Sherifdeen, Samuel Olasehinde",Nigeria,2019,TV-14,100,6.2,Movie,"September 1, 2019",
68f1f92e-64f4-456e-9333-757b212c82c6,Moms at War,"Two fierce mothers become rivals when a school contest forces their kids, both model students, to compete against one another to be the best in class.",Omoni Oboli,"Comedies, Dramas, International Movies","Omoni Oboli, Funke Akindele, Yul Edochie, Abayomi Alvin, Adebukola Oladipupo, Sharon Ooja, Eucharia Anunobi, Harriet Akinola, Michelle Dede",Nigeria,2018,TV-14,92,6.3,Movie,"April 13, 2020",
6f29a332-81a1-4bb2-a2f8-ce0623b6a9b8,Namaste Wahala,An interracial romance hits humorous and heart-wrenching hiccups as the couple's parents fight tooth and nail against their relationship.,Hamisha Daryani Ahuja,"Comedies, Dramas, International Movies","Ini Dima-Okojie, Ruslaan Mumtaz, Richard Mofe-Damijo, Joke Silva, Sujata Sehgal, Koye Kekere Ekun, Hamisha Daryani Ahuja, Anee Icha, Ibrahim Suleiman, Osas Ighodaro, Broda Shaggi",Nigeria,2021,TV-14,107,4.9,Movie,"February 14, 2021",
3ea74531-f7be-411d-92db-1347a1dd5ef3,New Money,An aspiring fashion designer's life is transformed after she discovers she’s the heiress of a billion-dollar empire left by her estranged father.,Tope Oshin,"Dramas, International Movies","Jemima Osunde, Blossom Chukwujekwu, Kate Henshaw-Nuttal, Dakore Akande, Wale Ojo, Wofai Fada, Osas Ighodaro Ajibade, Falz, Daniel Effiong, Adeolu Adefarasin",Nigeria,2018,TV-14,107,4.9,Movie,"April 14, 2020",
a697465b-642b-4429-b797-feafd261efdf,Nigerian Prince,"When a stubborn American teenager is sent to Nigeria by his mother, his cousin's scamming business becomes a viable option for securing a return flight.",Faraday Okoro,"Dramas, Independent Movies","Antonio Bell, Chinaza Uche, Tina Mba, Bimbo Manuel, Toyin Oshinaike, Craig Stott, Ebbe Bassey, Cristabel Goddy, Omar Maskati, Russell G. Jones, Dean Cameron","United States, Nigeria",2018,TV-MA,104,6,Movie,"August 14, 2020",
f6318e39-6794-4fe6-9737-142acfc8b364,Nimbe,A bullied teenager gravitates toward the acceptance he finds in a street gang but soon ends up involved in a world of drug abuse and organized crime.,Tope Alake,"Dramas, International Movies","Odunlade Adekola, Chimezie Imo, Sani Danja, Rachael Okonkwo, Broda Shaggi, Toyin Abraham, Kelechi Udegbe, Doyin Abiola, Molawa Davis",Nigeria,2019,TV-MA,115,5.9,Movie,"July 24, 2020",
